"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",2020-01-01,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"2",2020-01-02,17,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"3",2020-01-03,15,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"4",2020-01-04,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"5",2020-01-05,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"6",2020-01-06,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"7",2020-01-07,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"8",2020-01-08,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"9",2020-01-09,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10",2020-01-10,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"11",2020-01-11,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"12",2020-01-12,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"13",2020-01-13,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"14",2020-01-14,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"15",2020-01-15,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"16",2020-01-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"17",2020-01-17,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"18",2020-01-18,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"19",2020-01-19,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"20",2020-01-20,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"21",2020-01-21,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"22",2020-01-23,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"23",2020-01-24,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"24",2020-01-25,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"25",2020-01-26,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"26",2020-01-27,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"27",2020-01-28,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"28",2020-01-29,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"29",2020-01-30,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"30",2020-01-31,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"31",2020-02-01,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"32",2020-02-02,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"33",2020-02-03,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"34",2020-02-04,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"35",2020-02-05,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"36",2020-02-06,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"37",2020-02-07,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"38",2020-02-08,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"39",2020-02-09,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"40",2020-02-10,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"41",2020-02-11,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"42",2020-02-12,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"43",2020-02-13,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"44",2020-02-14,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"45",2020-02-15,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"46",2020-02-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"47",2020-02-17,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"48",2020-02-18,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"49",2020-02-21,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"50",2020-02-22,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"51",2020-02-23,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"52",2020-02-24,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"53",2020-02-25,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"54",2020-02-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"55",2020-02-27,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"56",2020-02-28,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"57",2020-03-01,22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"58",2020-03-02,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"59",2020-03-03,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"60",2020-03-04,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"61",2020-03-05,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"62",2020-03-06,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"63",2020-03-07,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"64",2020-03-08,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"65",2020-03-09,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"66",2020-03-10,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"67",2020-03-11,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"68",2020-03-12,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"69",2020-03-13,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"70",2020-03-14,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"71",2020-03-15,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"72",2020-03-16,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"73",2020-03-17,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"74",2020-03-18,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"75",2020-03-19,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"76",2020-03-20,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"77",2020-03-21,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"78",2020-03-22,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"79",2020-03-23,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"80",2020-03-24,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"81",2020-03-25,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"82",2020-03-26,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"83",2020-03-27,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"84",2020-03-28,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"85",2020-03-29,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"86",2020-03-30,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"87",2020-03-31,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"88",2020-04-01,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"89",2020-04-02,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"90",2020-04-03,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"91",2020-04-04,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"92",2020-04-05,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"93",2020-04-06,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"94",2020-04-07,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"95",2020-04-08,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"96",2020-04-09,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"97",2020-04-10,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"98",2020-04-11,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"99",2020-04-12,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"100",2020-04-13,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"101",2020-04-14,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"102",2020-04-15,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"103",2020-04-16,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"104",2020-04-17,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"105",2020-04-18,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"106",2020-04-19,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"107",2020-04-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"108",2020-04-21,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"109",2020-04-22,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"110",2020-04-23,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"111",2020-04-24,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"112",2020-04-25,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"113",2020-04-26,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"114",2020-04-27,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"115",2020-04-28,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
