"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"67",2020-07-22,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"68",2020-07-25,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"69",2020-07-28,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"70",2020-07-31,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"71",2020-08-03,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"72",2020-08-06,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"73",2020-08-09,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"74",2020-08-12,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"75",2020-08-15,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"76",2020-08-18,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"77",2020-08-21,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"78",2020-08-24,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"79",2020-08-27,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"80",2020-08-30,27,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"81",2020-09-02,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"82",2020-09-05,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"83",2020-09-08,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"84",2020-09-11,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"85",2020-09-14,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"86",2020-09-17,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"87",2020-09-20,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"88",2020-09-23,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"89",2020-09-26,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"90",2020-09-29,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"91",2020-10-02,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"92",2020-10-05,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"93",2020-10-08,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"94",2020-10-11,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"95",2020-10-14,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"96",2020-10-17,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"97",2020-10-20,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"98",2020-10-23,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"99",2020-10-26,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"100",2020-10-29,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"101",2020-11-01,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"102",2020-11-04,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"103",2020-11-07,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"104",2020-11-10,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"105",2020-11-13,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"106",2020-11-16,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"107",2020-11-19,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"108",2020-11-22,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"109",2020-11-25,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"110",2020-11-28,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"111",2020-12-01,16,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"112",2020-12-04,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"113",2020-12-07,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"114",2020-12-10,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"115",2020-12-19,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"116",2020-12-22,4,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"117",2020-12-25,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"118",2020-01-02,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"119",2020-01-08,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"120",2020-01-14,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"121",2020-01-20,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"122",2020-01-26,37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"123",2020-02-01,44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"124",2020-02-07,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"125",2020-02-13,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"126",2020-02-19,14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"127",2020-02-25,22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"128",2020-03-03,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"129",2020-03-09,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"130",2020-03-15,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"131",2020-03-21,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"132",2020-03-27,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"133",2020-04-02,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"134",2020-04-08,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"135",2020-04-14,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"136",2020-04-20,17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"137",2020-04-26,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"138",2020-05-02,48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"139",2020-05-08,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"140",2020-05-14,54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"141",2020-05-20,39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"142",2020-05-26,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"143",2020-06-01,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"144",2020-06-07,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"145",2020-06-13,25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"146",2020-06-19,45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"147",2020-06-25,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"148",2020-07-01,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"149",2020-07-07,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"150",2020-07-13,44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"151",2020-07-19,43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"152",2020-07-25,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"153",2020-07-31,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"154",2020-08-06,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"155",2020-08-12,38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"156",2020-08-18,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"157",2020-08-24,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"158",2020-08-30,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"159",2020-09-05,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"160",2020-09-11,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"161",2020-09-17,5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"162",2020-09-23,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"163",2020-09-29,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"164",2020-10-05,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"165",2020-10-11,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"166",2020-10-17,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"167",2020-10-23,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"168",2020-10-29,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"169",2020-11-04,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"170",2020-11-10,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
